date,id,content,user,place_id,reply_count,like_count,retweet_count,retweeted_tweet
2019-12-06 11:30:18+00:00,1202913148132478977,I am super excited to meet my inspiration and role model @GretaThunberg. #COP25 #FridaysForFuture https://t.co/VpiFTHFbei,NamugerwaLeah,,68,7864,520,
2019-12-06 09:11:59+00:00,1202878339419119621,"Silent climate school strike by #FridaysForFuture within #COP25. The most powerful and strong statement you can imagine. The young generation not accepting the politicians inaction. They need all our help, every day. https://t.co/RcDZN9THEi",DavidFopp,,63,3028,708,
2019-12-05 17:48:31+00:00,1202645943943925766,"Tomorrow December 6th we strike again around the world for the climate!
I’ll join the strike in Madrid at #COP25 18.00 at Atocha! See you there!
#FridaysForFuture #ClimateStrike #schoolstrike4climate https://t.co/bD5VYXFtqV",GretaThunberg,,380,11819,2763,
2019-12-05 17:48:02+00:00,1202645820308410370,"Tomorrow it's the 6th of December and the #COP25strike. Will we see you in the streets?
It's time for our world leaders to take REAL action!!
Register your own strike at https://t.co/77RuLVyHbO!

#FridaysForFuture 

@FridayForMadrid 
@FFF_Sweden 
@GretaThunberg",Fridays4future,,49,1447,384,
2019-12-05 09:13:38+00:00,1202516369272692741,"Look at #page48 of the Conservative manifesto: Boris Johnson is clearly trying to turn this country into a dictatorship by undermining the legal frameworks that protect us all, to shore up Tory power 🚫

PLEASE SHARE THIS! #GeneralElection2019
#ThursdayThoughts 
#FridaysForFuture https://t.co/QQGdcPIceW",LuckyHeronSay,,51,785,906,
2019-11-30 09:47:44+00:00,1200713008651153409,"What do we want? #ClimateAction 
When do we want it? NOW

This is what happened yesterday in Kampala. #FridaysForFuture #schoolstrike4climate #GlobalClimateStrike 
@GretaThunberg @Fridays4future https://t.co/Kn51BT7eJf",NamugerwaLeah,,8,883,201,
2019-11-30 03:00:08+00:00,1200610432731369472,"Let’s not forget, climate activism is not a story of a single individual, but the story of all strong and fearless activists around the world:

Aditya, Nina, Autumn, Ridhima, Greta, Leah, Kaluki, Wangari, and so many others 👏👏👏

#FridaysForFuture

https://t.co/CgheGUg42p",Greenpeace,,9,387,153,
2019-11-29 18:19:48+00:00,1200479489115009027,"AMAZING!!! Check out that crowd! Over 50,000 out in Hamburg today. Rising up to demand our politicians #ActOnClimate

No time to waste, no planet B. #ClimateStrike 

#ClimateAction #ClimateCrisis #climate #energy #FridaysForFuture #GreenNewDeal
@GretaThunberg via @stu4future_hh https://t.co/ssxho6DdfD",MikeHudema,,6,330,150,
2019-11-29 15:33:11+00:00,1200437556271341568,"People around the world are rallying for action on the climate crisis. 

Strikes are expected in 2,300 cities across 153 countries, says campaigners Fridays For Future. 
📍Lisbon, Portugal 
📍Bangkok, Thailand
📍Lagos, Nigeria
📍Bangalore, India https://t.co/fkFbj6gzHr",ajplus,,6,472,251,
2019-11-29 15:03:51+00:00,1200430177144229888,"School strike week 67.
42°19’ N 25°03’W #climatestrike #schoolstrike4climate #fridaysforfuture https://t.co/p2RrVtXm91",GretaThunberg,,3410,24927,2626,
2019-11-29 13:35:41+00:00,1200407988693020672,"Hey, here is Austria, Fridays for Future Vienna is taking control of this ship! https://t.co/YGNVku1Kb2",Greenpeace,,12,669,177,
2019-11-29 13:27:44+00:00,1200405986974031872,Berlin right now! We will never give up on our beautiful planet 💚🌍 #ClimateStrike #NeustartKlima #FridaysForFuture https://t.co/OvazdDRB8Q,lisagoeldner,,14,959,260,
2019-11-29 11:23:03+00:00,1200374611269079042,The wave of climate strikes just hit Copenhagen. We want an ambitious climate law and we want it yesterday #FridaysForFuture #ClimateStrike @GretaThunberg https://t.co/0GVjCCxsWB,SussiLillelund,"Place(id='936b83f20956cd4c', fullName='Copenhagen, Denmark', name='Copenhagen', type='city', country='Denmark', countryCode='DK')",16,465,183,
2019-11-29 10:02:14+00:00,1200354273290264581,"I asked the children to suggest where we could move to once the last river gets poisoned,last🌳cut down &amp; our planet🌏is destroyed.Some said Mars.

I had to tell them the sad truth😭! 

They're now determined to fight 4 their future.#ClimateStrike #FridaysForFuture #ClimateDebate https://t.co/TmZUCAgdR8",lizwathuti,,9,381,127,
2019-11-29 07:44:57+00:00,1200319723562524672,"Are you ready for the #ClimateStrike?

We’re back and striking in over 100 towns and cities across the UK.

Find your nearest strike below 👇#FridaysForFuture 

https://t.co/XhUU4Ilo1R",Strike4Youth,,15,397,193,
2019-11-29 05:50:43+00:00,1200290976234819590,"Today's Ocean Beauty: Humback Whale

IG: terramater

At Rarotonga in the cook islands, a humpback mother and her newborn arrive. 

One of the Beautiful Video i saw today. 😍

#ocean #nature #FridayThoughts #FridayThoughts #FridayFeeling #FridayVibes #FridaysForFuture https://t.co/458W6X2tSO",OceansBeauties,,35,1974,740,
2019-11-29 00:35:08+00:00,1200211556413427712,"Who is Greta Thunberg, the #FridaysForFuture activist? https://t.co/8SaNOruRFB",BBCWorld,,236,908,173,
2019-11-28 20:01:27+00:00,1200142680564600833,"In September 7,5 million people around the world took to the streets. Tomorrow we’re doing it again. Everyone’s needed. Everyone’s welcome. Join us! #FridaysForFuture #ClimateStrike #schoolstrike4climate",GretaThunberg,,540,25914,5364,
2019-11-26 12:45:04+00:00,1199308086525267969,"This #BlackFriday: Don't shop, Strike. ✊

29/11/2019

#GlobalStrikeForClimate
#ClimateStrike
#StrikeForClimate
#FridaysForFuture https://t.co/yqHgkld8Pz",Greenpeace,,26,433,169,
